RestaurantName,Sentiment Labels,Review Rating
Jimmy John's,Positive: 0.0 Negative: 1.0,4
Chicago Carry Out,Positive: 0.0 Negative: 1.0,3
Chicago Pizza Tours,Positive: 0.8888888888888888 Negative: 0.1111111111111111,5
Primebar Chicago,Positive: 0.4 Negative: 0.6,4
Potbelly Sandwich Works,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Market Creations,Positive: 0.75 Negative: 0.25,4
Chi-Town Pizza Express,Positive: 0.0 Negative: 1.0,3
Metro Deli & Cafe,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Asian Chao and Villa Italian,Positive: 0.0 Negative: 1.0,2
La Cocina,Positive: 0.84 Negative: 0.16,4
Sidebar Grille,Positive: 0.7419354838709677 Negative: 0.25806451612903225,4
Nick's Fishmarket,Positive: 0.5 Negative: 0.5,4
Taco Fresco,Positive: 0.1 Negative: 0.9,3
Au Bon Pain,Positive: 0.46153846153846156 Negative: 0.5384615384615384,3
Native Foods Cafe,Positive: 0.85 Negative: 0.15,4
ItaliAsia,Positive: 0.4 Negative: 0.6,3
Keefer's Kaffe,Positive: 0.625 Negative: 0.375,4
Mezza Grilled Wraps & Pitas,Positive: 0.8 Negative: 0.2,4
Market Thyme,Positive: 0.5 Negative: 0.5,4
Chicken Planet,Positive: 0.9148936170212766 Negative: 0.0851063829787234,5
Lobby Lounge,Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
The African Truck,Positive: 0.0 Negative: 1.0,4
Dagwood's Sandwich Factory,Positive: 0.5 Negative: 0.5,3
Burrito Beach,Positive: 0.75 Negative: 0.25,4
Frango Cafe,Positive: 0.6 Negative: 0.4,4
Bon Appetit,Positive: 0.5 Negative: 0.5,4
Bonivino Restaurant,Positive: 0.7692307692307693 Negative: 0.23076923076923078,4
McCormick & Schmick's,Positive: 0.4186046511627907 Negative: 0.5813953488372093,4
Chicago Sub,Positive: 0.0 Negative: 1.0,4
Franklin Tap,Positive: 0.3793103448275862 Negative: 0.6206896551724138,3
Panda Express,Positive: 0.0 Negative: 1.0,2
Ricobene's,Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Bockwinkel's,Positive: 0.46153846153846156 Negative: 0.5384615384615384,4
Jimmy John's,Positive: 0.5 Negative: 0.5,4
Panda Express,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Pret A Manger,Positive: 0.2857142857142857 Negative: 0.7142857142857143,4
Trotter's To Go Express,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Corner Bakery Cafe,Positive: 0.5 Negative: 0.5,3
Heaven On Seven On Wabash,Positive: 0.5849056603773585 Negative: 0.41509433962264153,4
New Orleans Kitchen,Positive: 0.0 Negative: 1.0,3
Popeyes,Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
McDonald's,Positive: 0.0 Negative: 1.0,2
The Plaza at Park Grill,Positive: 0.25 Negative: 0.75,3
Estelle's Kitchens,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Au Bon Pain,Positive: 0.38461538461538464 Negative: 0.6153846153846154,3
America's Dog,Positive: 0.125 Negative: 0.875,3
Burger King Express,Positive: 0.0 Negative: 1.0,2
Panda Express,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Panda Express,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Typhoon Cafe,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Shalom Deli,Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Haifa Cafe,Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
Atwood Cafe,Positive: 0.52 Negative: 0.48,4
America's Dog,Positive: 0.4642857142857143 Negative: 0.5357142857142857,4
Sbarro D Italian Italy,Positive: 0.0 Negative: 1.0,3
Coogan's Riverside Saloon,Positive: 0.1111111111111111 Negative: 0.8888888888888888,3
Sopraffina Marketcaffe,Positive: 0.2 Negative: 0.8,4
The Dock at Montrose Beach,Positive: 0.8 Negative: 0.2,4
Park Cafe,Positive: 0.5 Negative: 0.5,3
Hoyt's Chicago,Positive: 0.7 Negative: 0.3,4
Daddy O's,Positive: 0.5 Negative: 0.5,4
Elephant & Castle,Positive: 0.19607843137254902 Negative: 0.803921568627451,3
Got Pizza,Positive: 0.5 Negative: 0.5,4
Mr Submarine,Positive: 0.0 Negative: 1.0,3
Edwardo's Natural Pizza Restaurant,Positive: 0.36363636363636365 Negative: 0.6363636363636364,3
Marquette Inn Restaurant,Positive: 0.1 Negative: 0.9,3
Mixed Greens,Positive: 0.6 Negative: 0.4,4
Jimmy John's,Positive: 0.0 Negative: 1.0,3
Mac Kelly's Greens & Things,Positive: 0.5 Negative: 0.5,3
Giordano's Pizzeria,Positive: 0.43478260869565216 Negative: 0.5652173913043478,4
Mama Falco's Pizza,Positive: 0.0 Negative: 1.0,3
Manchu Wok,Positive: 0.0 Negative: 1.0,1
Rhapsody,Positive: 0.3888888888888889 Negative: 0.6111111111111112,3
The Great Steak & Potato Company,Positive: 0.0 Negative: 1.0,2
Cafe Mediterra,Positive: 0.5 Negative: 0.5,4
Sbarro,Positive: 0.5 Negative: 0.5,2
Stocks & Blondes Bar & Grille,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Tribute,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Rivers,Positive: 0.4897959183673469 Negative: 0.5102040816326531,4
Delhi 6,Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Potbelly Sandwich Works,Positive: 0.75 Negative: 0.25,4
Brian's Juice Bar & Deli,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Subway,Positive: 0.0 Negative: 1.0,3
212 On The River,Positive: 0.0 Negative: 1.0,3
Hilton Chicago,Positive: 0.7105263157894737 Negative: 0.2894736842105263,4
Halsted Street Deli,Positive: 0.5294117647058824 Negative: 0.47058823529411764,3
Cr̻pes Cafe,Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Eggy's Diner,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Giordano's,Positive: 0.611864406779661 Negative: 0.38813559322033897,4
Simply Fresh,Positive: 0.25 Negative: 0.75,4
Avec,Positive: 0.8356807511737089 Negative: 0.1643192488262911,5
Jimmy Johns,Positive: 0.2 Negative: 0.8,3
Dairy Queen,Positive: 0.0 Negative: 1.0,3
Burrito Beach,Positive: 0.25 Negative: 0.75,4
Quiznos,Positive: 0.5 Negative: 0.5,4
Qdoba Mexican Grill,Positive: 0.125 Negative: 0.875,3
